codPrograma,txtDescricaoPrograma,modifiedMode,usuarioOperacao
2110,Melhoria da qualidade do ensino - Ensino Médio,5,
2120,Melhoria da qualidade do ensino - Ensino Profissional,5,
2130,Defesa Civil - Prevenção e Emergência,5,
2140,Serviço Funerário,5,
2210,Gerenciamento do sistema de abastecimento,5,
2310,"Patrimônio histórico, artístico e arqueológico",5,
2320,Promoção de atividades culturais,5,
2610,Suporte administrativo,5,
2620,Sistema de informação e processamento de dados,5,
2710,Processo Legislativo,5,
2810,Controle Externo,5,
2910,Ile de France,5,
2920,Divulgação Oficial,5,
2930,Projeto de Inclusão Social Urbana - Nós do Centro/União Européia,5,
2940,Previdência dos servidores,5,
2950,Benefícios a servidores,5,
3001,Acesso à Cultura,5,
3002,Acesso à Moradia Adequada ,5,
3003,"Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância",5,
3004,Benefícios e Previdência de Funcionários,5,
3005,Promoção da Sustentabilidade Ambiental,5,
3006,Promoção dos Direitos da Pessoa com Deficiência,5,
3007,Promoção dos Direitos da População Idosa,5,
3008,Gestão dos Riscos e Promoção da Resiliência a Desastres e Eventos Críticos,5,
3009,Melhoria da Mobilidade Urbana Universal,5,
3010,"Manutenção, Desenvolvimento e Promoção da Qualidade da Educação",5,
3011,"Modernização Tecnológica, Desburocratização e Inovação do Serviço Público",5,
3012,"Participação, Transparência e Controle Social da Administração Pública",5,
3013,"Promoção da Segurança Urbana, Prevenção e Proteção às Vítimas de Violência",5,
3014,Processo Legislativo e Controle Externo,5,
3015,Promoção da Cidade como Referência Global e Destino Turístico,5,
3016,Nutrição e Promoção da Segurança Alimentar,5,
3017,"Promoção de Atividades Esportivas, Recreativas e de Lazer",5,
3018,"Promoção da Cidadania, Inclusão Digital e Valorização da Diversidade",5,
3019,Promoção do Crescimento Econômico e Geração de Postos de Trabalho e Oportunidades,5,
3020,Promoção da Economia Criativa,5,
3021,"Qualidade, Eficiência e Sustentabilidade do Orçamento Público",5,
3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,5,
3023,Proteção à População em Situação de Vulnerabilidade Social,5,
3024,Suporte Administrativo,5,
3025,Proteção e Desenvolvimento Integral na Primeira Infância,5,
3026,Ações e Serviços da Saúde em Atenção Hospitalar e de Urgência e Emergência,5,
3027,Ações e Serviços da Saúde Animal,5,
9999,Reserva de Contingência,5,
