codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
00.1.501.7053,Emendas Parlamentares - Eliseu Gabriel,2025,5,
00.1.501.7054,Emendas Parlamentares - Thammy Miranda,2025,5,
00.1.501.7055,Emendas Parlamentares - Missionário José Olimpio,2025,5,
00.1.501.7056,Emendas Parlamentares - Reis,2025,5,
00.1.501.7057,Tesouro Municipal,2025,5,
00.1.501.7058,Emendas Parlamentares - Antonio Donato,2025,5,
00.1.501.7059,Emendas Parlamentares - Beto do Social,2025,5,
00.1.501.7060,Emendas Parlamentares - Eduardo Suplicy,2025,5,
00.1.501.7061,Emendas Parlamentares - Ricardo Teixeira,2025,5,
00.1.501.7063,Emendas Parlamentares - Adriano Santos,2025,5,
00.1.501.7065,Tesouro Municipal,2025,5,
00.1.501.7066,Tesouro Municipal,2025,5,
00.1.501.7998,Emendas à LOA,2025,5,
00.1.501.7999,Ações Governamentais,2025,5,
00.1.501.9001,Outros Recursos não Vinculados,2025,5,
00.1.502.7035,Emendas Parlamentares - Rinaldi Digilio,2025,5,
00.1.502.7038,Emendas Parlamentares - Rodrigo Goulart,2025,5,
00.1.502.7062,Emendas Parlamentares - Armandinho Ferreiro,2025,5,
00.1.502.7999,Ações Governamentais,2025,5,
00.1.502.9001,Recursos não vinculados da compensação de impostos,2025,5,
00.1.573.9001,Royalties do Petróleo e Gás Natural Vinculados à Educação,2025,5,
00.1.635.9001,Royalties do Petróleo e Gás Natural vinculados à Saúde,2025,5,
00.1.669.1488,PMSP- AUXÍLIO REENCONTRO,2025,5,
00.1.704.9001,Transferência da União Referente a Royalties do Petróleo e Gás Natural,2025,5,
00.1.705.9001,Transferência Estados Referente a Royalties do Petróleo e Gás Natural,2025,5,
00.1.708.9001,Transferência União Ref. Compensação Financeira Recursos Minerais,2025,5,
00.1.709.9001,Transferência União ref. Compensação Financeira Recursos Hídricos,2025,5,
00.1.711.9001,9001 - Sem detalhamento,2025,5,
00.1.720.9001,Sem detalhamento,2025,5,
00.2.500.0003,Campo de Marte,2025,5,
00.2.500.0004,Recursos do FUMCAD desvinculados,2025,5,
00.2.500.7001,Emendas Parlamentares - Eli Corrêa,2025,5,
00.2.500.7002,Emendas Parlamentares - João Ananias,2025,5,
00.2.500.7003,Emendas Parlamentares - Bombeiro Major Palumbo,2025,5,
00.2.500.7004,Emendas Parlamentares - Alessandro Guedes,2025,5,
00.2.500.7005,Emendas Parlamentares - Daniel Annenberg,2025,5,
00.2.500.7006,Emendas Parlamentares - Dr. Milton Ferreira,2025,5,
00.2.500.7007,Emendas Parlamentares - André Santos,2025,5,
00.2.500.7008,Emendas Parlamentares - Arselino Tatto,2025,5,
00.2.500.7009,Emendas Parlamentares - Isac Félix,2025,5,
00.2.500.7010,Emendas Parlamentares - Cris Monteiro,2025,5,
00.2.500.7011,Emendas Parlamentares - Danilo do Posto de Saúde,2025,5,
00.2.500.7012,Emendas Parlamentares - Elaine Mineiro,2025,5,
00.2.500.7013,Emendas Parlamentares - Manoel Del Rio,2025,5,
00.2.500.7014,Emendas Parlamentares - Atílio Francisco,2025,5,
00.2.500.7015,Emendas Parlamentares - Ely Teruel,2025,5,
00.2.500.7016,Emendas Parlamentares - George Hato,2025,5,
00.2.500.7017,Emendas Parlamentares - Jair Tatto,2025,5,
00.2.500.7018,Emendas Parlamentares - Fábio Riva,2025,5,
00.2.500.7019,Emendas Parlamentares - Jussara Basso,2025,5,
00.2.500.7020,Emendas Parlamentares - Fernando Holiday,2025,5,
00.2.500.7021,Emendas Parlamentares - Coronel Salles,2025,5,
00.2.500.7022,Emendas Parlamentares - Rodolfo Despachante,2025,5,
00.2.500.7023,Emendas Parlamentares - Janaína Lima,2025,5,
00.2.500.7024,Emendas Parlamentares - Sidney Cruz,2025,5,
00.2.500.7025,Emendas Parlamentares - Roberto Tripoli,2025,5,
00.2.500.7026,Emendas Parlamentares - Luana Alves,2025,5,
00.2.500.7027,Emendas Parlamentares - Luna,2025,5,
00.2.500.7028,Emendas Parlamentares - Marcelo Messias,2025,5,
00.2.500.7029,Emendas Parlamentares - Gilson Barreto,2025,5,
00.2.500.7030,Emendas Parlamentares - Rute Costa,2025,5,
00.2.500.7031,Emendas Parlamentares - João Jorge,2025,5,
00.2.500.7032,Emendas Parlamentares - Edir Sales,2025,5,
00.2.500.7033,Emendas Parlamentares - Milton Leite,2025,5,
00.2.500.7034,Emendas Parlamentares - Dr. Nunes Peixeiro,2025,5,
00.2.500.7035,Emendas Parlamentares - Rinaldi Digilio,2025,5,
00.2.500.7036,Emendas Parlamentares - Marlon Luz,2025,5,
00.2.500.7037,Emendas Parlamentares - Rubinho Nunes,2025,5,
00.2.500.7038,Emendas Parlamentares - Rodrigo Goulart,2025,5,
00.2.500.7039,Emendas Parlamentares - Sandra Santana,2025,5,
00.2.500.7040,Emendas Parlamentares - Camilo Cristofaro Martins,2025,5,
00.2.500.7041,Emendas Parlamentares - Sansão Pereira,2025,5,
00.2.500.7042,Emendas Parlamentares - Aurélio Nomura,2025,5,
00.2.500.7043,Emendas Parlamentares - Celso Giannazi,2025,5,
00.2.500.7044,Emendas Parlamentares - Dra Sandra Tadeu,2025,5,
00.2.500.7045,Emendas Parlamentares - Paulo Frange,2025,5,
00.2.500.7046,Emendas Parlamentares - Adilson Amadeu,2025,5,
00.2.500.7047,Emendas Parlamentares - Silvia Ferraro,2025,5,
00.2.500.7048,Emendas Parlamentares - Senival Moura,2025,5,
00.2.500.7049,Emendas Parlamentares - Toninho Vespoli,2025,5,
