codOrgao,txtDescricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao
76,Fundo Especial de Despesas da Câmara Municipal de São Paulo,22,Fundo Especial de Despesas da Câmara,5,
77,Fundo Especial de Despesas do Tribunal de Contas ,23,FUNDO ESPECIAL DE DESPESAS DO TCMSP,5,
78,Fundo de Abastecimento Alimentar de São Paulo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
79,Secretaria Municipal de Políticas para as Mulheres,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
80,"Fundação Paulistana de Educação, Tecnologia e Cultura",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
80,Fundação Paulistana de Educação Tecnologia e Cultura,16,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,5,
81,Autoridade Municipal de Limpeza Urbana/Fundo Municipal Limpeza Urbana,15,Autoridade Municipal de Limpeza Urbana/FMLU,5,
81,Fundo Municipal Limpeza Urbana,81,FUNDO MUNICIPAL DE LIMPEZA URBANA,5,
82,Fundação Catavento,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
82,Fundação Catavento,17,Fundação Catavento,5,
83,Companhia Metropolitana de Habitação de São Paulo,83,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,5,
84,Fundo Municipal de Saúde,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
85,Fundação Theatro Municipal de São Paulo,85,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,5,
86,Fundo Municipal de Saneamento Ambiental e Infraestrutura,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
87,Fundo Municipal de Desenvolvimento de Trânsito,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
88,Fundo de Preservação do Patrimônio Histórico e Cultural,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
89,Fundo Municipal de Esportes e Lazer,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
90,Fundo Municipal dos Direitos da Criança e do Adolescente,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
91,Fundo Municipal de Habitação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
91,Fundo Municipal de Habitação,91,Fundo Municipal de Habitação - COHAB,5,
92,"Fundo Municipal do Trabalho, Emprego e Renda",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
93,Fundo Municipal de Assistência Social,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
94,Fundo Especial do Meio Ambiente e Desenvolvimento Sustentável,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
95,Fundo Especial de Promoção de Atividades Culturais,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
96,Fundo Municipal de Turismo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
97,Fundo de Proteção do Patrimônio Cultural e Ambiental Paulistano,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
98,Fundo de Desenvolvimento Urbano,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
99,Fundo Municipal de Iluminação Pública,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
