codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,_codOrgao_consultado
10,Gabinete do Secretário,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
10,Cinema e Audiovisual de São Paulo,15,Cinema e Audiovisual de São Paulo,03,CINEMA E AUDIOVISUAL DE SÃO PAULO,5,,15
11,Coordenadoria do Govêrno Eletrônico e Gestão da Informação,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
12,Departamento da Merenda Escolar,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
30,Departamento de Recursos Humanos,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
40,Departamento Administrativo-Financeiro,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
50,Departamento de Gestão de Suprimentos e Serviços,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
60,Divisão da Gráfica Municipal,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
70,Departamento de Saúde do Trabalhador Municipal,15,"Secretaria Municipal  de Modernização, Gestão e Desburocratização",01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,15
06,SME - SPTURIS,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
10,Gabinete do Secretário,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
11,Diretoria Regional de Educação Ipiranga,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
12,Diretoria Regional de Educação Jaçanã/Tremembé,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
13,Diretoria Regional de Educação Freguesia/Brasilândia,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
14,Diretoria Regional de Educação Pirituba,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
15,Diretoria Regional de Educação Campo Limpo,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
16,Diretoria Regional de Educação Capela do Socorro,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
17,Diretoria Regional de Educação Penha,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
18,Diretoria Regional de Educação Santo Amaro,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
19,Diretoria Regional de Educação Itaquera,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
20,Diretoria Regional de Educação São Miguel,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
21,Diretoria Regional de Educação Guaianases,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
22,Diretoria Regional de Educação Butantã,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
23,Diretoria Regional de Educação São Mateus,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
24,Coordenadoria de Alimentação Escolar,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
31,Núcleo de Ação Educativa - NAE 1   IP/JA/SA/SE/VM,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
32,Núcleo de Ação Educativa - NAE 2  ST/MG/JT,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
33,Núcleo de Ação Educativa - NAE 3   CV/FO/SE,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
34,Núcleo de Ação Educativa - NAE 4   LA/PJ/PR,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
35,Núcleo de Ação Educativa  - NAE 5   CL,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
36,Núcleo de Ação Educativa - NAE 6   CS/SA,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
37,Núcleo de Ação Educativa  - NAE 7   PE/MO/AF,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
38,Núcleo de Ação Educativa  - NAE 8   VP,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
39,Núcleo de Ação Educativa  - NAE 9   IQ/PE,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
40,Núcleo de Ação Educativa - NAE 10   MP/EM,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
41,Núcleo de Ação Educativa  - NAE 11-G,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
42,Núcleo de Ação Educativa - NAE 12   BT/LA/PI,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
43,Núcleo de Ação Educativa - NAE 13   SM/AF/IQ,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
80,SME - FUNDATEC,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
83,SME - COHAB,16,Secretaria Municipal de Educação,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,16
10,Gabinete do Secretário,17,Secretaria Municipal da Fazenda,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,17
